"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3098","0","1177","0","33","0","5","0","8","0","0","0","4321"
"CMCF","1057","728","605","631","12","8","4","2","2","5","1","1","3056"
"SMCI","1457","0","703","0","24","0","2","0","5","0","1","0","2192"
"County Jails (approved)","637","64","480","94","8","3","0","1","4","0","3","1","1295"
"County Jails (unapproved)","25","3","7","3","1","0","0","0","0","0","0","0","39"
"Private Prisons","3648","0","1150","0","19","0","6","0","9","0","0","0","4832"
"Regional Correctional Facilities","2235","0","755","0","22","0","0","0","5","0","1","0","3018"
"Community Work Centers","946","120","485","102","4","1","1","0","3","0","1","0","1663"
"Community Trusties","9","0","6","0","0","0","0","0","0","0","0","0","15"
"Pending File Review","2","1","4","1","0","0","0","0","0","0","0","0","8"
"Court Order","165","9","132","31","1","0","2","0","3","0","1","0","344"
"","13279","925","5504","862","124","12","20","3","39","5","8","2","20783"
"Intensive Supervison Program","680","150","606","202","4","1","2","0","3","1","7","1","1657"
"Earned Release Supervision","1195","127","439","64","5","1","1","0","0","0","0","0","1832"
"Medical Release","4","0","3","1","0","0","0","0","0","0","0","0","8"
"Other Custody","133","12","122","14","20","0","0","0","0","0","2","0","303"
"At Large","67","3","38","5","4","0","0","0","0","0","0","0","117"
"Off-Grounds Medical (Hospital)","1","0","2","3","0","0","0","0","0","0","0","0","6"
"TOTAL","15359","1217","6714","1151","157","14","23","3","42","6","17","3","24706"
"% OF TOTAL_offenses","62.17%","4.93%","27.18%","4.66%","0.64%","0.06%","0.09%","0.01%","0.17%","0.02%","0.07%","0.01%","100.00%"
