"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2255","0","947","0","23","0","3","0","10","0","1","0","3239"
"CMCF","1473","388","1048","545","25","5","3","2","7","1","0","1","3498"
"SMCI","1649","0","966","0","30","0","3","0","5","0","0","0","2653"
"County Jails (approved)","362","1","347","10","7","0","0","0","2","0","1","0","730"
"County Jails (unapproved)","191","9","121","19","2","0","0","0","1","0","1","0","344"
"Youthful Offender Facility","21","1","3","0","0","0","0","0","0","0","0","0","25"
"Private Prisons","2300","0","877","0","16","0","8","0","2","0","0","0","3203"
"Regional Correctional Facilities","2632","56","1402","123","57","3","9","0","11","0","0","0","4293"
"Community Work Centers","275","31","179","112","2","0","1","2","3","0","0","0","605"
"Community Trusties","8","0","1","0","0","0","0","0","0","0","0","0","9"
"TVC","59","0","29","0","0","0","0","0","0","0","0","0","88"
"Transitional Housing","17","2","17","5","0","0","0","0","0","0","0","0","41"
"Pending File Review","31","2","24","4","0","0","0","0","2","0","0","0","63"
"RRP","26","3","16","23","0","1","0","0","0","0","0","0","69"
"Court Order","112","4","100","10","0","1","0","0","0","0","0","0","227"
"","11411","497","6077","851","162","10","27","4","43","1","3","1","19087"
"Intensive Supervison Program","341","68","264","126","2","0","0","0","0","2","1","0","804"
"Earned Release Supervision","389","25","122","26","1","2","0","1","2","0","1","0","569"
"Medical Release","5","0","9","0","0","0","0","0","0","0","0","0","14"
"Other Custody","253","6","179","21","26","0","0","0","2","0","1","0","488"
"At Large","14","0","5","2","3","0","0","0","0","0","0","0","24"
"Conditional Release","1","0","0","1","0","0","0","0","0","0","0","0","2"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","10","0","5","0","0","0","0","0","0","0","0","0","15"
"TOTAL","12426","596","6665","1027","194","12","27","5","47","3","6","1","21009"
"percent_of_total","59.15%","2.84%","31.72%","4.89%",".92%",".06%",".13%",".02%",".22%",".01%",".03%",".00%","100.00%"
