"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2062","0","976","0","13","0","1","0","3","0","","","3055"
"CMCF","1295","420","769","512","20","5","7","2","0","1","0","0","3031"
"SMCI","2116","0","991","0","32","0","4","0","4","0","0","0","3147"
"County Jails (approved)","745","46","403","78","4","1","1","0","1","0","1","0","1280"
"County Jails (unapproved)","248","11","137","5","3","0","0","0","0","0","1","0","405"
"Private Prisons","3459","0","1165","0","25","0","3","0","9","0","0","0","4661"
"Regional Correctional Facilities","2511","123","1136","161","41","0","1","0","5","1","2","0","3981"
"Community Work Centers","847","61","399","123","5","2","4","1","4","1","0","0","1447"
"Community Trusties","8","0","6","0","0","0","0","0","0","0","0","0","14"
"Pending File Review","69","10","28","23","2","0","0","0","0","0","0","0","132"
"Court Order","194","6","113","14","0","0","0","0","1","0","0","0","328"
"CUSTODY POPULATION","13554","677","6123","916","145","8","21","3","27","3","4","0","21481"
"Intensive Supervison Program","614","157","574","279","8","2","3","1","3","0","1","0","1642"
"Earned Release Supervision","1053","94","421","80","6","0","1","0","1","0","0","0","1656"
"Medical Release","14","4","4","1","0","0","0","0","0","0","0","0","23"
"Other Custody","186","7","134","21","46","4","1","1","3","0","5","0","408"
"At Large","21","0","11","2","3","0","0","0","0","0","0","0","37"
"Off-Grounds Medical (Hospital)","5","0","5","1","0","0","0","0","0","0","0","0","11"
"TOTAL","15447","939","7272","1300","208","14","26","5","34","3","10","0","25258"
"percent_of_total","61.16%","3.72%","28.79%","5.15%",".82%",".06%",".10%",".02%",".13%",".01%",".04%",".00%","100.00%"
