"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2117","0","953","0","20","0","4","0","6","0","1","0","3101"
"CMCF","886","371","504","398","11","4","3","2","3","2","0","0","2184"
"SMCI","1545","0","867","0","32","0","1","0","8","0","0","0","2453"
"County Jails (approved)","598","24","369","43","4","0","0","0","0","1","0","0","1039"
"County Jails (unapproved)","137","6","70","17","1","0","0","0","0","0","1","0","232"
"Youthful Offender Facility","18","0","4","0","0","0","0","0","0","0","0","0","22"
"Private Prisons","2967","0","962","0","29","0","7","0","6","0","0","0","3971"
"Regional Correctional Facilities","2737","116","1157","135","38","1","3","0","11","0","0","0","4198"
"Community Work Centers","581","49","291","116","0","1","2","0","1","0","2","0","1043"
"Community Trusties","4","0","1","0","0","0","0","0","0","0","0","0","5"
"Pending File Review","29","9","24","11","1","0","0","0","1","0","0","0","75"
"Court Order","134","3","91","21","1","0","0","0","0","1","0","0","251"
"","11753","578","5293","741","137","6","20","2","36","4","4","0","18574"
"Intensive Supervison Program","499","136","388","221","5","4","0","2","3","0","1","1","1260"
"Earned Release Supervision","643","60","223","39","4","2","1","0","1","0","0","0","973"
"Medical Release","9","0","7","1","0","0","0","0","0","0","0","0","17"
"Other Custody","250","12","183","25","50","6","2","1","4","0","3","0","536"
"At Large","16","0","6","2","3","0","0","0","0","0","0","0","27"
"Off-Grounds Medical (Hospital)","2","0","5","0","0","0","0","0","0","0","0","0","7"
"TOTAL","13172","786","6105","1029","199","18","23","5","44","4","8","1","21394"
"percent_of_total","61.57%","3.67%","28.54%","4.81%",".93%",".08%",".11%",".02%",".21%",".02%",".04%",".00%","100.00%"
