"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3301","1","1267","0","42","0","5","0","4","0","1","0","4621"
"CMCF","1078","776","598","611","6","7","2","2","0","4","0","1","3085"
"SMCI","1443","0","669","0","22","0","1","0","7","0","0","0","2142"
"County Jails (approved)","920","60","551","76","8","1","2","0","4","0","7","4","1633"
"County Jails (unapproved)","95","10","106","26","2","0","0","0","2","1","1","0","243"
"Private Prisons","3509","0","1216","0","18","0","3","0","5","0","0","0","4751"
"Regional Correctional Facilities","1994","0","722","0","19","0","0","0","3","0","0","0","2738"
"Community Work Centers","1044","115","436","107","3","0","0","0","4","0","0","0","1709"
"Community Trusties","9","0","9","0","0","0","1","0","0","0","0","0","19"
"Pending File Review","105","12","79","13","0","0","0","0","0","0","0","0","209"
"CUSTODY POPULATION","13498","974","5653","833","120","8","14","2","29","5","9","5","21150"
"Intensive Supervison Program","579","105","468","159","6","0","4","3","1","0","7","3","1335"
"Earned Release Supervision","1075","125","430","66","4","1","2","0","2","0","0","0","1705"
"Medical Release","2","0","0","1","0","0","0","0","0","0","0","0","3"
"Other Custody/At Large","175","13","137","15","11","0","0","0","0","0","0","0","351"
"Off-Grounds Medical (Hospital)","3","1","3","1","0","0","0","0","0","0","0","0","8"
"TOTAL","15332","1218","6691","1075","141","9","20","5","32","5","16","8","24552"
"% OF TOTAL_offenses","62.45%","4.96%","27.25%","4.38%","0.57%","0.04%","0.08%","0.02%","0.13%","0.02%","0.07%","0.03%","100.00%"
