"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2249","0","1006","1","25","0","2","0","6","0","0","0","3289"
"CMCF","1526","345","1028","534","29","4","4","2","6","3","2","1","3484"
"SMCI","1706","0","900","0","28","0","0","0","3","0","0","0","2637"
"County Jails (approved)","302","3","292","26","4","0","0","0","1","0","1","0","629"
"County Jails (unapproved)","185","11","123","13","1","0","2","0","1","0","2","0","338"
"Youthful Offender Facility","22","0","3","0","1","0","0","0","0","0","0","0","26"
"Private Prisons","2282","0","860","0","18","0","7","0","1","0","0","0","3168"
"Regional Correctional Facilities","2576","100","1390","130","52","4","9","1","12","0","1","0","4275"
"Community Work Centers","302","32","215","111","2","3","2","0","1","1","0","0","669"
"Community Trusties","22","0","13","0","0","0","0","0","1","0","0","0","36"
"TVC","1","2","0","15","0","0","0","0","0","0","0","0","18"
"Transitional Housing","15","1","16","4","0","0","0","0","0","0","0","0","36"
"Pending File Review","49","2","44","7","0","0","0","0","1","0","0","0","103"
"RRP","38","7","40","14","1","0","0","0","1","0","0","0","101"
"Court Order","116","3","91","21","1","0","0","0","1","0","0","0","233"
"CUSTODY POPULATION","11391","506","6021","876","162","11","26","3","35","4","6","1","19042"
"Intensive Supervison Program","296","74","200","133","3","2","1","1","1","0","1","0","712"
"Earned Release Supervision","413","34","126","32","0","1","0","0","1","0","0","0","607"
"Medical Release","8","0","4","1","0","0","0","0","0","0","0","0","13"
"Other Custody","208","7","186","20","25","0","1","0","2","0","1","0","450"
"At Large","17","0","7","2","3","0","0","0","0","0","0","0","29"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","3","0","0","0","0","0","0","0","0","0","5"
"Off-Grounds Medical (Hospital)","6","1","4","1","0","0","0","0","0","0","0","0","12"
"TOTAL","12342","622","6552","1066","193","14","28","4","39","4","8","1","20873"
"percent_of_total","59.13%","2.98%","31.39%","5.11%",".92%",".07%",".13%",".02%",".19%",".02%",".04%",".00%","100.00%"
