"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3912","2","1399","0","17","0","3","0","1","0","0","0","5334"
"CMCF","1044","820","578","489","8","5","4","2","1","3","0","0","2954"
"SMCI","1401","0","604","0","17","0","1","0","5","0","0","0","2028"
"County Jails (approved)","1006","50","549","40","17","2","2","0","1","0","0","0","1667"
"County Jails (unapproved)","111","5","82","10","0","0","2","0","2","0","0","0","212"
"Private Prisons","2802","0","860","0","6","0","3","0","1","0","0","0","3672"
"Regional Correctional Facilities","1679","0","444","0","5","0","1","0","2","0","0","0","2131"
"Community Work Centers","839","78","319","67","4","0","2","0","1","0","1","0","1311"
"Community Trusties","12","0","6","0","0","0","0","0","0","0","0","0","18"
"","12806","955","4841","606","74","7","18","2","14","3","1","0","19327"
"Intensive Supervison Program","699","115","500","156","4","1","2","1","2","1","0","0","1481"
"Earned Release Supervision","729","78","267","36","3","0","1","1","1","0","0","0","1116"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","105","7","110","14","4","0","0","0","0","1","0","0","241"
"At Large","53","5","20","3","1","0","0","0","1","0","0","0","83"
"University of MS Medical Center","4","0","2","0","0","0","0","0","0","0","0","0","6"
"TOTAL","14396","1160","5740","815","86","8","21","4","18","5","1","0","22254"
"% by Demographics","64.69%","5.21%","25.79%","3.66%","0.39%","0.04%","0.09%","0.02%","0.08%","0.02%","0.00%","0.00%","100.00%"
