"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3887","2","1383","0","18","0","3","0","3","0","1","0","5297"
"CMCF","1076","754","611","420","4","6","1","1","3","3","0","0","2879"
"SMCI","1419","0","594","0","16","0","0","0","2","0","0","0","2031"
"County Jails (approved)","932","60","473","34","5","1","2","1","1","0","0","0","1509"
"County Jails (unapproved)","50","12","42","8","0","0","0","0","0","0","0","0","112"
"Private Prisons","2820","0","751","0","8","0","2","0","2","0","0","0","3583"
"Regional Correctional Facilities","1557","0","414","0","4","0","4","0","2","0","0","0","1981"
"Community Work Centers","888","71","270","46","5","0","2","1","0","1","0","0","1284"
"Community Trusties","16","0","8","0","0","0","0","0","0","0","0","0","24"
"CUSTODY POPULATION","12645","899","4546","508","60","7","14","3","13","4","1","0","18700"
"Intensive Supervison Program","634","122","444","124","3","1","3","2","2","0","0","0","1335"
"Earned Release Supervision","642","71","226","36","5","0","0","1","0","0","0","0","981"
"Medical Release","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Other Custody","90","5","91","10","4","0","0","0","0","1","0","0","201"
"At Large","45","4","21","4","1","0","0","0","1","0","0","0","76"
"University of MS Medical Center","3","2","2","0","0","0","0","0","0","0","0","0","7"
"TOTAL","14060","1103","5330","682","73","8","17","6","16","5","1","0","21301"
"% of Total Offenses","66.01%","5.18%","25.02%","3.20%","0.34%","0.04%","0.08%","0.03%","0.08%","0.02%","0.00%","0.00%","100.00%"
