"Female","Black","White","Hispanic","Other","Unknown","Total","Percent"
"Less than 1 year","19","104","1","1","1","126","7.31%"
"1-2  years","65","127","3","1","0","196","11.38%"
"3-5  years","144","309","3","1","2","459","26.64%"
"6-10  years","145","262","5","4","0","416","24.14%"
"11-20 years","131","163","5","2","0","301","17.47%"
"21-30  years","41","45","0","0","0","86","4.99%"
"Greater than 30 Years","17","14","1","0","0","32","1.86%"
"Life","57","48","0","1","0","106","6.15%"
"Death","0","1","0","0","0","1","0.06%"
"Total","619","1073","18","10","3","1723","100.00%"
