"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","","MONTHLY FACT SHEET","",""
"","","","As of September 1, 2003","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","11,408","49.57%","","",""
"Compact Probation","1,074","4.67%","","",""
"Nonadjudicated","2,296","9.98%","","",""
"Post Release","3,817","16.59%","","",""
"","18,595","80.81%","Probation Total","",""
"Parole","1,378","5.99%","","",""
"Compact Parole","409","1.78%","","",""
"Suspension","10","0.04%","","",""
"","1,797","7.81%","Parole Total","",""
"Intensive Supervision Program - Court","1,053","4.58%","","",""
"Intensive Supervision Program - Prison","320","1.39%","","",""
"Earned Release Supervision","1,247","5.42%","","",""
"Medical Release","0","0.00%","","",""
"","2,620","11.39%","Community Inmate Total","",""
"TOTAL","23,012","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
8,580","60.05%","2,229","52.68%","10,809","58.13%"
"White
5,581","39.06%","1,950","46.09%","7,531","40.50%"
"Hispanic
67","0.47%","19","0.45%","86","0.46%"
"Native American
28","0.20%","9","0.21%","37","0.20%"
"Asian
32","0.22%","24","0.57%","56","0.30%"
"Data Unavailable
0","0.00%","0","0.00%","76","0.41%"
"TOTAL
14,288","100.00%","4,231","100.00%","18,595","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
2,229","11.99%","","","",""
"Property
10,326","55.53%","","","",""
"Drug
6,040","32.48%","","","",""
"TOTAL
18,595","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,060","67.30%","126","56.76%","1,186","66.00%"
"White
506","32.13%","95","42.79%","601","33.44%"
"Hispanic
8","0.51%","","0.45%","9","0.50%"
"Native American
1","0.06%","1 0 0","0.00%","","0.06%"
"Asian
0","0.00%","","0.00%","01","0.00%"
"TOTAL
1,575","100.00%","222","100.00%","1,797","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
588","32.72%","","","",""
"Property
563","31.33%","","","",""
"Drug
646","35.95%","","","",""
"TOTAL
1,797","100.00%","","","",""
