"","","Fact Sheet"
"","","As of September 4, 2018"
"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","5,262","15.63%"
"Probation - Compact","1,375","4.08%"
"Probation - Nonadjudicated","3,235","9.61%"
"Probation - Post Release","13,294","39.49%"
"TVC Probation","131","0.39%"
"PROBATION TOTAL","23,297","69.20%"
"Parole","8,114","24.10%"
"Parole - Compact","606","1.80%"
"Parole - Suspension","0","0.00%"
"TVC Parole","288","0.86%"
"PAROLE TOTAL","9,008","26.76%"
"Intensive Supervision Program - Court","710","2.11%"
"Intensive Supervision Program - Prison","39","0.12%"
"Earned Release Supervision","588","1.75%"
"Medical Release","15","0.04%"
"FTR- Monitoring","6","0.02%"
"Conditional Release","3","0.009%"
"COMMUNITY INMATE TOTAL","1,361","4.04%"
"TOTAL","33,666","100.00%"
