"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"4","30","0","0","569","21.48%"
"1","0","0","0","2",".08%"
"0","0","0","0","4",".15%"
"0","0","0","0","2",".08%"
"3","6","0","0","19",".72%"
"2","2","0","0","13",".49%"
"1","0","0","0","1",".04%"
"1","0","0","0","2",".08%"
"1","1","0","0","6",".23%"
"0","1","0","0","2",".08%"
"0","1","0","0","7",".26%"
"11","28","0","0","389","14.68%"
"0","0","0","0","1",".04%"
"0","0","0","0","2",".08%"
"1","0","0","0","1",".04%"
"0","0","0","0","1",".04%"
"0","0","0","0","1",".04%"
"0","0","0","0","2",".08%"
"1","0","0","0","8",".30%"
"2","1","0","0","18",".68%"
"0","0","0","0","1",".04%"
"0","0","0","0","1",".04%"
"2","11","0","0","18",".68%"
"0","0","0","0","2",".08%"
"1","0","0","0","2",".08%"
"0","1","0","0","3",".11%"
"0","1","0","0","38","1.43%"
"0","0","0","0","3",".11%"
"0","0","0","0","64","2.42%"
"0","0","0","0","1",".04%"
"0","0","0","0","1",".04%"
"0","0","0","0","42","1.59%"
"0","9","0","0","33","1.25%"
"0","0","0","0","8",".30%"
"4","6","0","0","138","5.21%"
"1","0","0","0","2",".08%"
"63","14","0","0","193","7.29%"
