"COUNTY","OFFENDERS  PERCENT",""
"Issaquena","1","5.00%"
"Itawamba","0",".00%"
"Jackson","0",".00%"
"Jasper","0",".00%"
"Jefferson","0",".00%"
"Jefferson Davis","0",".00%"
"Jones","1","5.00%"
"Kemper","0",".00%"
"Lafayette","0",".00%"
"Lamar","0",".00%"
"Lauderdale","0",".00%"
"Lawrence","1","5.00%"
"Leake","0",".00%"
"Lee","1","5.00%"
"Leflore","0",".00%"
"Lincoln","0",".00%"
"Lowndes","0",".00%"
"Madison","0",".00%"
"Marion","0",".00%"
"Marshall","0",".00%"
"Monroe","0",".00%"
"Montgomery","0",".00%"
"Neshoba","1","5.00%"
"Newton","0",".00%"
"Noxubee","0",".00%"
"Oktibbeha","0",".00%"
"Panola","0",".00%"
