"TYPE OF OFFENSE","","","",""
"OFFENSE","NUMBER OF 
OFFENSES","PERCENT","AVERAGE SENTENCE 
LENGTH IN YEARS","AVERAGE AGE 
AT OFFENSE"
"Capital Rape","1",".40%","7.00","46.97"
"Child Molestation","29","11.65%","5.69","36.06"
"Child Pornography","1",".40%","3.00","30.33"
"Exploitation/Child","3","1.20%","2.00","32.22"
"Failure to Register","18","7.23%","1.00","35.80"
"Fondling","2",".80%","3.25","50.40"
"Fondling a Child","14","5.62%","4.86","35.98"
"Gratification/Lust","11","4.42%","3.41","35.63"
"Peeping Tom","4","1.61%","7.50","33.21"
"Prostitution","1",".40%","5.00","19.48"
"Rape","33","13.25%","27.48","29.53"
"Sex Offenses","15","6.02%","8.33","24.33"
"Sexual Assault","3","1.20%","14.53","29.68"
"Sexual Battery","70","28.11%","5.35","32.33"
"Statutory Rape","31","12.45%","4.32","27.39"
"Unlawful Touching/Child","13","5.22%","2.19","40.10"
