"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Felony DUI","244","274","9","8"
"Firearms Discharge","0","1","0","0"
"Fleeing Law Enforcement Officer","3","1","0","0"
"Flight to Avoid","0","2","0","0"
"Forgery","5","5","0","0"
"Fraud","3","5","0","1"
"Fraud by Wire","0","0","0","0"
"Fraud in Obtaining Public Assistance","1","0","0","0"
"Fraud - Impersonation","1","2","1","0"
"Fraud - Swindle","1","0","0","0"
"Gambling","1","5","0","0"
"Grand Larceny","166","182","1","1"
"Harassing Communication","0","1","0","0"
"Harassing Phone Calls","0","2","0","0"
"Harboring Escape","0","0","0","0"
"Identity Theft","1","0","0","0"
"Larceny","1","0","0","0"
"Larceny - Auto","2","0","0","0"
"Leaving Scene of Accident","2","3","2","0"
"Malicious Mischief","7","8","0","0"
"Marijuana Manufacturing","0","1","0","0"
"Money Laundering","1","0","0","0"
"Obtain Contsub/Fraud","1","4","0","0"
"Operating Chop Shop","1","1","0","0"
"Perjury","1","0","0","0"
"Possess Counterfeited","2","0","0","0"
"Possess Stolen Property","26","11","0","0"
"Possess Stolen Vehicle","1","2","0","0"
"Possession of Firearm by Convicted Felon","50","14","0","0"
"Possession of Marijuana - Less than Ounce","1","0","0","0"
"Possess Tools for Commission of Crime","1","0","0","0"
"Possession Weapon/Felon","28","14","0","0"
"Prescription Forgery","3","21","0","0"
"Property Crime","0","8","0","0"
"Receiving Stolen Property","81","46","1","0"
"Resisting Arrest","1","0","0","0"
"Shoplifting","98","18","0","0"
