"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","2",".80%"
"0","0","0","0","1",".40%"
"1","0","0","0","1",".40%"
"0","6","0","0","17","6.80%"
"0","0","0","0","1",".40%"
"1","0","0","0","1",".40%"
"2","0","0","0","5","2.00%"
"1","5","0","0","103","41.20%"
"0","0","0","0","1",".40%"
"0","0","0","0","1",".40%"
"0","0","0","0","1",".40%"
"0","3","0","0","18","7.20%"
"0","0","0","0","1",".40%"
"1","0","0","0","2",".80%"
"0","0","0","0","1",".40%"
"0","0","0","0","9","3.60%"
"0","0","0","0","7","2.80%"
"0","0","0","0","3","1.20%"
"0","2","0","0","6","2.40%"
"5","1","0","0","20","8.00%"
"0","0","0","0","3","1.20%"
"0","0","0","0","1",".40%"
"5","1","0","0","17","6.80%"
"0","0","0","0","5","2.00%"
"0","0","0","0","3","1.20%"
"17","25","0","0","250","100.00%"
