"MALES","","","",""
"VIOLENT","BLACK","WHITE","HISPANIC","OTHER"
"Abuse Vulnerable Adult","0","1","0","0"
"Aggravated Assault Police Officer Strong Arm","3","1","1","0"
"Aggravated Assault Police Officer Weapon","7","0","0","0"
"Aggravated Assault Public Official - Weapon","0","0","0","0"
"Aggravated Assault","245","57","2","4"
"Aggravated Assault/Domestic Involvement","6","0","0","0"
"Arson","15","16","1","0"
"Arson 1st Degree","4","1","0","0"
"Arson 2nd Degree","0","2","0","0"
"Arson 3rd Degree","2","1","0","0"
"Arson 4th Degree","1","0","0","0"
"Arson - Residence","1","1","0","0"
"Drive-By Shooting","7","1","0","2"
"Kidnapping","11","4","0","0"
"Mayhem","1","0","0","0"
"Simple Assault","6","6","0","0"
"TOTAL","309","91","4","6"
