"","COUNTY  OFFENDERS  PERCENT",""
"Adams","1",".40%"
"Alcorn","1",".40%"
"Amite","0",".00%"
"Attala","1",".40%"
"Benton","0",".00%"
"Bolivar","3","1.20%"
"Calhoun","0",".00%"
"Carroll","1",".40%"
"Chickasaw","2",".80%"
"Choctaw","1",".40%"
"Claiborne","0",".00%"
"Clarke","3","1.20%"
"Clay","1",".40%"
"Coahoma","4","1.61%"
"Copiah","1",".40%"
"Covington","0",".00%"
"Desoto","11","4.42%"
"Forrest","6","2.41%"
"Franklin","2",".80%"
"George","2",".80%"
"Greene","0",".00%"
"Grenada","2",".80%"
"Hancock","4","1.61%"
"Harrison","23","9.24%"
"Hinds","21","8.43%"
"Holmes","1",".40%"
"Humphreys","0",".00%"
