"COUNTY","OFFENDERS  PERCENT",""
"Issaquena","0",".00%"
"Itawamba","0",".00%"
"Jackson","6","2.41%"
"Jasper","0",".00%"
"Jefferson","0",".00%"
"Jefferson Davis","2",".80%"
"Jones","2",".80%"
"Kemper","0",".00%"
"Lafayette","9","3.61%"
"Lamar","4","1.61%"
"Lauderdale","13","5.22%"
"Lawrence","1",".40%"
"Leake","2",".80%"
"Lee","7","2.81%"
"Leflore","5","2.01%"
"Lincoln","3","1.20%"
"Lowndes","4","1.61%"
"Madison","4","1.61%"
"Marion","1",".40%"
"Marshall","4","1.61%"
"Monroe","5","2.01%"
"Montgomery","0",".00%"
"Neshoba","2",".80%"
"Newton","2",".80%"
"Noxubee","0",".00%"
"Oktibbeha","7","2.81%"
"Panola","2",".76%"
