"","","Feb-06  Mar-06","Apr-06","May-06","Jun-06","TOTAL","PERCENT"
"Abscond","2","0","3","1","0","18",".21%"
"Appeal","1","0","2","0","0","5",".06%"
"Closed","0","0","0","1","0","5",".06%"
"Death","0","2","2","1","0","26",".30%"
"Death by Inmate","0","0","0","0","0","1",".01%"
"Death Unknown","0","0","0","1","0","4",".05%"
"Death/Accident","0","1","0","0","0","1",".01%"
"Death/Execution","0","0","0","0","0","1",".01%"
"Death/Natural Causes","1","1","4","3","5","31",".36%"
"Death/Suicide","0","0","0","1","0","3",".03%"
"Discharge to Probation","5","2","1","0","5","66",".77%"
"Discharged","2","4","0","3","3","29",".34%"
"ERS","147","194","172","169","140","1,736","20.13%"
"Escape","0","0","1","0","0","4",".05%"
"Expiration","172","140","128","116","113","1,930","22.37%"
"House Arrest/ISP","4","34","26","39","27","260","3.01%"
"Inactive Probation/Parole","3","0","0","2","2","24",".28%"
"Inmate","20","12","11","5","15","157","1.82%"
"Medical Release","0","0","1","0","0","3",".03%"
"Non-Report","0","3","0","1","0","8",".09%"
"Out of State","8","8","8","9","5","91","1.05%"
"Parole","42","61","45","43","44","493","5.72%"
"Pending Arrival","1","0","1","0","3","5",".06%"
"Probation","239","183","208","206","172","2,355","27.30%"
"Rejected Compact","0","1","2","0","2","8",".09%"
"RID on Street","0","1","1","0","1","4",".05%"
"Shock Probation","15","10","11","12","13","184","2.13%"
"Unsupervised Probation","3","0","2","0","1","14",".16%"
"Release Type Unknown","111","127","102","78","78","1,160","13.45%"
"TOTAL","776","784","731","691","629","8,626","100.00%"
