"COUNTY","OFFENDERS","PERCENT"
"Issaquena","4",".05%"
"Itawamba","30",".35%"
"Jackson","284","3.29%"
"Jasper","21",".24%"
"Jefferson","9",".10%"
"Jefferson Davis","23",".27%"
"Jones","133","1.54%"
"Kemper","15",".17%"
"Lafayette","83",".96%"
"Lamar","153","1.77%"
"Lauderdale","357","4.14%"
"Lawrence","25",".29%"
"Leake","52",".60%"
"Lee","236","2.74%"
"Leflore","106","1.23%"
"Lincoln","98","1.14%"
"Lowndes","250","2.90%"
"Madison","210","2.43%"
"Marion","109","1.26%"
"Marshall","99","1.15%"
"Monroe","123","1.43%"
"Montgomery","54",".63%"
"Neshoba","89","1.03%"
"Newton","52",".60%"
"Noxubee","23",".27%"
"Oktibbeha","123","1.43%"
"Panola","102","1.18%"
