"MALES","","","",""
"SEX OFFENSES","BLACK","WHITE","HISPANIC","OTHER"
"Capital Rape","0","1","0","0"
"Child Molestation","7","22","0","0"
"Child Pornography","0","1","0","0"
"Exploitation/Child","2","1","0","0"
"Failure to Register/Sexual Offender","12","6","0","0"
"Fondling","1","1","0","0"
"Fondling a Child","5","8","1","0"
"Gratification - Lust","4","6","1","0"
"Peeping Tom","2","2","0","0"
"Prostitution","1","0","0","0"
"Rape","29","4","0","0"
"Sex Assault","5","10","0","0"
"Sex Offense","2","1","0","0"
"Sexual Battery","32","35","0","0"
"Statutory Rape","16","15","0","0"
"Unlawful Touching a Child","4","8","1","0"
"TOTAL","122","121","3","0"
