"COUNTY","OFFENDERS","PERCENT"
"Issaquena","0",".00%"
"Itawamba","28",".76%"
"Jackson","94","2.54%"
"Jasper","18",".49%"
"Jefferson","2",".05%"
"Jefferson Davis","8",".22%"
"Jones","52","1.40%"
"Kemper","4",".11%"
"Lafayette","43","1.16%"
"Lamar","34",".92%"
"Lauderdale","183","4.94%"
"Lawrence","6",".16%"
"Leake","22",".59%"
"Lee","169","4.56%"
"Leflore","41","1.11%"
"Lincoln","49","1.32%"
"Lowndes","130","3.51%"
"Madison","125","3.37%"
"Marion","24",".65%"
"Marshall","77","2.08%"
"Monroe","105","2.83%"
"Montgomery","14",".38%"
"Neshoba","36",".97%"
"Newton","19",".51%"
"Noxubee","5",".13%"
"Oktibbeha","73","1.97%"
"Panola","47","1.27%"
