"","COUNTY  OFFENDERS  PERCENT",""
"Adams","1","5.00%"
"Alcorn","0",".00%"
"Amite","0",".00%"
"Attala","0",".00%"
"Benton","0",".00%"
"Bolivar","0",".00%"
"Calhoun","1","5.00%"
"Carroll","0",".00%"
"Chickasaw","0",".00%"
"Choctaw","0",".00%"
"Claiborne","0",".00%"
"Clarke","1","5.00%"
"Clay","0",".00%"
"Coahoma","1","5.00%"
"Copiah","0",".00%"
"Covington","0",".00%"
"Desoto","0",".00%"
"Forrest","0",".00%"
"Franklin","0",".00%"
"George","0",".00%"
"Greene","0",".00%"
"Grenada","0",".00%"
"Hancock","1","5.00%"
"Harrison","0",".00%"
"Hinds","0",".00%"
"Holmes","0",".00%"
"Humphreys","0",".00%"
