"MALES","","","",""
"POSSESSION OF DRUGS","BLACK","WHITE","HISPANIC","OTHER"
"Amphetamine Possession","0","1","0","0"
"Cocaine - Trafficking","1","0","0","0"
"Cocaine - Possession","498","94","5","2"
"Controlled Substance Within Facility","1","0","0","0"
"Heroin - Possession","0","2","1","0"
"Marijuana - Manufacture","3","7","0","0"
"Marijuana - Possession","113","38","7","1"
"Methamphetamine - Possession","2","147","2","1"
"Methamphetamine - Distribute","0","1","1","0"
"Methamphetamine - Manufacture","0","18","0","0"
"Possession of Controlled Substance w/Intent","40","40","4","1"
"Possession of Cocaine w/Intent to Distribute","54","0","2","0"
"Possession of Marijuana w/Intent to Distribute","37","7","4","0"
"Possession of Precursor w/Intent to Manufacture","0","54","1","0"
"Possession of Controlled Substance","183","229","7","1"
"Possession of Precursors","0","96","0","0"
"Theft of Precursor","0","7","0","0"
"TOTAL","932","741","34","6"
