"MALES","","","",""
"POSSESSION OF DRUGS","BLACK","WHITE","HISPANIC","OTHER"
"Amphetamine Possession","0","1","0","0"
"Cocaine Possession","34","7","0","0"
"Heroin Possession","0","0","0","0"
"Marijuana - Manufacture","1","0","0","0"
"Marijuana - Possession","5","1","0","0"
"Methamphetamine - Possession","0","15","0","1"
"Methamphetamine - Manufacture","0","1","0","0"
"Possession of Controlled Substance w/Intent","4","2","0","0"
"Possession of Cocaine w/Intent to Distribute","3","0","0","0"
"Possession of Marijuana w/Intent to Distribute","0","0","1","0"
"Possession of Precursor w/Intent to Manufacture","0","4","0","0"
"Possession of Controlled Substance","11","12","0","0"
"Possession of Precursors","0","5","0","0"
"Theft of Precursor","0","1","0","0"
"TOTAL","58","49","1","1"
