"","Jul-05","Aug-05","Sep-05","Oct-05","Nov-05","Dec-05","Jan-06"
"Abscond","2","1","4","2","1","1","1"
"Appeal","0","1","0","0","0","0","1"
"Closed","0","1","0","2","0","0","1"
"Death","1","4","1","1","4","5","5"
"Death by Inmate","0","1","0","0","0","0","0"
"Death Unknown","1","2","0","0","0","0","0"
"Death/Accident","0","0","0","0","0","0","0"
"Death/Execution","0","0","0","0","0","1","0"
"Death/Natural Causes","1","3","2","2","4","2","3"
"Death/Suicide","2","0","0","0","0","0","0"
"Discharge to Probation","12","11","8","6","3","11","2"
"Discharged","6","1","4","3","3","0","0"
"ERS","134","128","127","143","118","145","119"
"Escape","0","0","1","2","0","0","0"
"Expiration","222","184","159","193","192","164","147"
"House Arrest/ISP","21","19","13","13","23","15","26"
"Inactive Probation/Parole","6","3","2","3","1","0","2"
"Inmate","11","10","11","17","11","13","21"
"Medical Release","0","1","0","0","0","1","0"
"Non-Report","0","2","1","0","1","0","0"
"Out of State","5","5","5","10","9","15","4"
"Parole","44","33","27","31","51","23","49"
"Pending Arrival","0","0","0","0","0","0","0"
"Probation","229","199","173","186","200","198","162"
"Rejected Compact","1","0","1","0","0","1","0"
"RID on Street","0","0","0","0","0","1","0"
"Shock Probation","20","14","11","39","26","13","0"
"Unsupervised Probation","2","0","0","2","1","2","1"
"Release Type Unknown","107","82","84","95","93","108","95"
"TOTAL 
827 
705 
634 
750 
741 
719 
639","","","","","","",""
