"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Accessory After the Fact","25","15","0","0"
"Aggravated DUI","2","5","0","0"
"Aiding Prisoner Escape","0","0","0","0"
"Altering Identification of","1","0","0","0"
"Attempt to Elude","0","1","0","0"
"Bribery - Public Official","2","0","0","0"
"Burglary","17","28","0","0"
"Carjacking","3","0","0","0"
"Carry Concealed Weapon","1","1","0","0"
"Carrying Weapon in Public Place","1","0","0","0"
"Carrying Weapon on School Property","1","0","0","0"
"Child Abuse","4","3","0","0"
"Child Support","4","2","0","0"
"Compounding Crime","3","0","0","0"
"Conspiracy","13","5","0","0"
"Conspiracy to Commit a Crime","11","20","0","0"
"Counterfeiting","2","0","0","0"
"Credit Card Fraud","6","13","0","2"
"Crimes Against a Person","2","2","0","0"
"Criminal Attempt to Commit","3","2","0","0"
"Cruelty To Animals","1","0","0","0"
"Desertion of Non-Support of Child","1","0","0","0"
"Discharge Firearm","9","2","1","0"
"Disorderly Conduct/Creating Turmoil","1","0","0","0"
"Domestic Violence Order","3","3","0","0"
"DUI - Death","0","0","1","0"
"DUI - Manslaughter","0","2","0","1"
"Embezzle","1","0","0","0"
"Embezzlement","37","26","0","1"
"Escape - Jail","3","6","0","0"
"Exploitation of Vulnerable Adult","0","2","0","0"
"Extortion","0","1","0","0"
"False Information","0","1","0","0"
"False Name","1","0","0","0"
"False Pretense","28","21","0","0"
"False Report of a Crime","0","1","0","0"
"Felony Domestic Violence","12","0","0","0"
