"COUNTY","OFFENDERS  PERCENT",""
"Issaquena","0",".00%"
"Itawamba","1",".16%"
"Jackson","19","2.97%"
"Jasper","2",".31%"
"Jefferson","0",".00%"
"Jefferson Davis","2",".31%"
"Jones","10","1.56%"
"Kemper","1",".16%"
"Lafayette","12","1.88%"
"Lamar","5",".78%"
"Lauderdale","26","4.06%"
"Lawrence","0",".00%"
"Leake","7","1.09%"
"Lee","20","3.13%"
"Leflore","8","1.25%"
"Lincoln","3",".47%"
"Lowndes","17","2.66%"
"Madison","15","2.34%"
"Marion","16","2.50%"
"Marshall","9","1.41%"
"Monroe","11","1.72%"
"Montgomery","7","1.09%"
"Neshoba","12","1.88%"
"Newton","2",".31%"
"Noxubee","0",".00%"
"Oktibbeha","14","2.19%"
"Panola","6",".94%"
