"MALES","","","",""
"SEX OFFENSES","BLACK","WHITE","HISPANIC","OTHER"
"Capital Rape","0","1","0","0"
"Child Molestation","0","8","0","0"
"Failure to Register/Sexual Offender","0","1","0","0"
"Fondling","0","1","0","0"
"Fondling a Child","2","3","0","0"
"Gratification - Lust","1","2","0","0"
"Peeping Tom","0","1","0","0"
"Rape","7","1","0","0"
"Sex Assault","1","1","0","0"
"Sexual Battery","3","5","0","0"
"Statutory Rape","2","0","0","0"
"Unlawful Touching a Child","0","3","1","0"
"TOTAL","16","27","1","0"
