"MALES","","","",""
"POSSESSION OF DRUGS","BLACK","WHITE","HISPANIC","OTHER"
"Cocaine-Trafficking","5","0","0","0"
"Cocaine Possession","533","77","4","0"
"Heroin - Possession","2","0","0","0"
"Marijuana -  Possession","127","55","5","0"
"Possession of Marijuana w/Intent to Distribute","31","13","2","1"
"Marijuana - Manufacturing","1","4","0","0"
"Methamphetamine - Manufacturing","0","16","0","0"
"Methamphetamine - Possession","3","92","1","0"
"Methamphetamine - Distribution","0","2","0","0"
"Possession Cocaine w/Intent to Distribute","40","3","2","0"
"Possession Controlled Substance","244","348","6","3"
"Possession of Controlled Substance with Intent","21","28","5","0"
"Posssession of Precursors","0","24","0","0"
"Theft of Precursos","0","3","0","0"
"Possession Precursor w/Intent to Mfr.","1","35","0","0"
"TOTAL","1,008","700","25","4"
