"","COUNTY  OFFENDERS  PERCENT",""
"Adams","0","0.00%"
"Alcorn","0","0.00%"
"Amite","0","0.00%"
"Attala","0","0.00%"
"Benton","0","0.00%"
"Bolivar","0","0.00%"
"Calhoun","0","0.00%"
"Carroll","0","0.00%"
"Chickasaw","0","0.00%"
"Choctaw","0","0.00%"
"Claiborne","0","0.00%"
"Clarke","0","0.00%"
"Clay","0","0.00%"
"Coahoma","0","0.00%"
"Copiah","0","0.00%"
"Covington","0","0.00%"
"Desoto","0","0.00%"
"Forrest","2","8.70%"
"Franklin","0","0.00%"
"George","0","0.00%"
"Greene","0","0.00%"
"Grenada","1","4.35%"
"Hancock","0","0.00%"
"Harrison","1","4.35%"
"Hinds","1","4.35%"
"Holmes","0","0.00%"
"Humphreys","0","0.00%"
