"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Accessory After the Fact","0","1","0","0"
"Aggravated DUI","0","3","0","0"
"Bribery - Public Official","1","0","0","0"
"Child Abuse","0","1","0","0"
"Child Support","1","0","0","0"
"Compounding Crime","1","0","0","0"
"Concealed ID of Motor Vehicle","0","1","0","0"
"Conspiracy","0","0","0","0"
"Conspiracy to Commit a Crime","1","0","0","0"
"Credit Card Fraud","1","1","0","0"
"Discharge Firearm","0","1","0","0"
"DUI Death","1","0","0","0"
"Embezzlement","2","7","0","0"
"False Information","1","0","0","0"
"False Pretense","1","2","0","0"
"Felony Domestic Violence","1","0","0","0"
"Felony DUI","42","50","0","1"
"Forgery","0","1","0","0"
