"COUNTY","OFFENDERS  PERCENT",""
"Issaquena","0","0.00%"
"Itawamba","0","0.00%"
"Jackson","0","0.00%"
"Jasper","0","0.00%"
"Jefferson","0","0.00%"
"Jefferson Davis","0","0.00%"
"Jones","2","8.70%"
"Kemper","0","0.00%"
"Lafayette","1","4.35%"
"Lamar","0","0.00%"
"Lauderdale","0","0.00%"
"Lawrence","0","0.00%"
"Leake","0","0.00%"
"Lee","0","0.00%"
"Leflore","0","0.00%"
"Lincoln","1","4.35%"
"Lowndes","0","0.00%"
"Madison","0","0.00%"
"Marion","0","0.00%"
"Marshall","0","0.00%"
"Monroe","0","0.00%"
"Montgomery","0","0.00%"
"Neshoba","0","0.00%"
"Newton","0","0.00%"
"Noxubee","0","0.00%"
"Oktibbeha","0","0.00%"
"Panola","1","4.35%"
