"Violation","","Feb-05  Mar-05","Apr-05","May-05","Jun-05","TOTAL","PERCENT"
"Abscond","0","1","4","3","0","33",".38%"
"Appeal","1","0","","1","1","9",".10%"
"Closed","0","0","0","1","0","13",".15%"
"Court Suspension","0","0","0","0","0","1",".01%"
"Death","5","12","6","11","4","72",".82%"
"Discharge to Probation","3","4","4","2","4","66",".75%"
"Discharged","5","7","1","1","0","32",".36%"
"Dismissed","0","0","0","0","0","1",".01%"
"ERS","97","136","99","107","116","1,517","17.28%"
"Expiration","153","202","138","155","136","2,291","26.10%"
"House Arrest/ISP","32","15","11","28","22","297","3.38%"
"Inactive Probation/Parole","1","0","1","2","5","13",".15%"
"Medical Release","1","0","0","0","0","6",".07%"
"Non-Report","1","0","3","1","1","12",".14%"
"Out of State","10","8","4","6","6","93","1.06%"
"Parole","66","52","37","47","43","604","6.88%"
"Pending Arrival","1","0","0","1","0","4",".05%"
"Probation","165","192","173","223","163","2,079","23.68%"
"Rejected Compact","1","0","0","1","0","4",".05%"
"Remanded","0","0","0","0","0","1",".01%"
"Rendered","0","0","0","0","1","1",".01%"
"RID on Street","0","0","0","0","0","2",".02%"
"Shock Probation","22","7","21","28","16","198","2.26%"
"Unsupervised Probation","2","3","2","0","0","16",".18%"
"Release Type Unknown","107","102","87","83","98","1,414","16.11%"
"TOTAL","673","741","591","701","616","8,796","100.00%"
