"MALES","","","",""
"BURGLARY","BLACK","WHITE","HISPANIC","OTHER"
"Burglary - General","100","78","0","1"
"Burglary - Larceny - Non-Residential","5","23","1","0"
"Burglary - Larceny - Residential","14","21","0","0"
"Burglary - Larceny - Vehicle","17","13","0","0"
"Burglary - Larceny - Unoccupied Dwelling","0","2","0","0"
"Burglary - Non-Residential","222","120","1","1"
"Burglary - Occupied Dwelling","13","4","0","0"
"Burglary - Residential","345","225","1","0"
"Burglary - Tool Possession","4","2","0","0"
"Burglary - Vehicle","146","87","1","0"
"Violation of the MS Rico Act","0","1","2","0"
"TOTAL","866","576","6","2"
