"MALES","","","",""
"POSSESSION OF DRUGS","Black","White","Hispanic","Other"
"Cocaine - Trafficing","5","0","0","0"
"Cocaine - Possession","533","77","4","0"
"Heroin - Possession","2","0","0","0"
"Marijuana - Manufacturing","1","4","0","0"
"Marijuana - Possession","127","55","5","0"
"Methamphetamine - Distribute","0","2","0","0"
"Methamphetamine - Manufacture","0","16","0","0"
"Methamphetamine - Possession","3","92","1","0"
"Possession of Controlled Substance w/Intent","21","28","5","0"
"Possession of Cocaine w/Intent","40","3","2","0"
"Possession of Marijuana w/Intent","31","13","2","1"
"Possession of Precursor w/Intent To Manufacture","1","35","0","0"
"Possession of Controlled Substance w/Intent","244","348","6","3"
"Possession of Precursors","0","24","0","0"
"Theft of Precursors","0","3","0","0"
"TOTAL","1,008","700","25","4"
