"MALES","","","",""
"POSSESSION OF DRUGS","BLACK","WHITE","HISPANIC","OTHER"
"Cocaine - Trafficking","0","0","0","0"
"Cocaine - Possession","24","5","0","0"
"Marijuana Manufacture","1","0","0","0"
"Marijuana Possession","6","5","0","0"
"Methamphetamine - Possession","2","5","0","0"
"Poss of Controlled Substance with Intent","0","2","1","0"
"Poss of Cocaine W/Intent to Distribute","2","0","1","0"
"Poss of Marijuana W/Intent to Distribute","1","1","0","1"
"Poss of Precursor W/Intent to Manufacture","0","2","0","0"
"Possession of Controlled Substance","21","21","0","0"
"Possession of Precursors","0","1","0","0"
"TOTAL","57","42","2","1"
