"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"7","5","0","0","56","2.02%"
"0","0","0","0","10","0.36%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","0","0","0","19","0.69%"
"0","0","0","0","2","0.07%"
"0","1","0","0","9","0.32%"
"0","0","0","0","8","0.29%"
"0","0","0","0","11","0.40%"
"0","0","0","0","1","0.04%"
"3","4","0","0","23","0.83%"
"1","1","0","0","16","0.58%"
"0","0","0","0","2","0.07%"
"6","6","0","0","33","1.19%"
"0","0","0","0","4","0.14%"
"0","0","0","0","3","0.11%"
"1","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"1","0","0","0","21","0.76%"
"0","0","0","0","2","0.07%"
"0","0","0","0","1","0.04%"
"0","0","0","0","3","0.11%"
"0","0","0","1","6","0.22%"
"18","20","0","0","109","3.93%"
"1","0","0","0","17","0.61%"
"1","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"1","0","0","0","3","0.11%"
"11","25","0","0","94","3.39%"
"0","0","0","0","1","0.04%"
"0","0","0","0","2","0.07%"
"0","0","0","0","14","0.51%"
"8","30","0","2","636","22.95%"
"0","0","0","0","2","0.07%"
"0","4","0","0","19","0.69%"
