"MALES","","","",""
"OTHER PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Fraud","0","9","0","1"
"Fraud by Wire","0","0","0","0"
"Fraud - Impersonation","2","1","0","0"
"Fraud - Swindle","2","1","0","0"
"Fraudulent Use of Drivers License","0","0","0","0"
"Gambling","3","2","0","0"
"Grand Larceny","194","209","0","1"
"Hit-and-Run","3","0","0","0"
"Invate Privacy","0","1","0","0"
"Larceny - Auto","2","0","0","0"
"Leaving Scene/Accident","2","2","0","0"
"Mail Fraud","0","1","0","0"
"Malicious Mischief","0","1","0","0"
"Nonsupport - Parent","0","1","0","0"
"Obstruction Justice","1","0","0","0"
"Obtaining Controlled Substance By Fraud","1","8","0","0"
"Operating Chop Shop","1","1","0","0"
"Perjury","1","2","0","0"
"Possess Stolen Property","28","10","0","0"
"Possess Stolen Vehicle","4","3","0","0"
"Possession of Firearm Convicted Felon","25","9","0","1"
"Possession of Marijuana-Less than Oz","0","0","0","0"
"Possession Pornography","0","1","0","0"
"Possession Weapon/Felon","58","31","0","0"
"Prescription Forgery","3","19","0","0"
"Production Porn","0","1","0","0"
"Property Crimes","2","19","0","0"
"Receive Stolen Property","93","33","0","0"
"Sale of Stolen Property","0","1","0","0"
"Shoplifting","103","23","1","0"
"Simple Assault-Police Officer","33","17","3","0"
"Smuggling Contraband - Prison","1","0","0","0"
"Stolen Property","1","0","0","0"
"Tax Revenue","0","1","0","0"
"Theft by Taking","0","1","0","0"
"Traffic Offense","1","0","0","0"
"Trespassing","1","0","0","0"
