"MALES","","","",""
"VIOLENT","BLACK","WHITE","HISPANIC","OTHER"
"Abuse Vulnerable Adult","2","0","0","0"
"Aggravate Assault Police Officer Weapon","3","3","0","0"
"Aggravated Assault","272","61","1","0"
"Aggravated Assault Police Off Str Arm","5","0","1","0"
"Aggravated Assault-Public Official-Strongarm","1","0","0","0"
"Aggravated Assault-Public Official-Weapon","1","0","0","0"
"Arson","13","16","0","0"
"Arson-1st Degree","0","3","0","0"
"Arson-2nd Degree","1","3","0","0"
"Arson Residence","1","1","0","0"
"Assault","1","0","0","0"
"Drive-By Shooting","11","5","0","1"
"Intimidation","2","0","0","0"
"Kidnapping","10","5","0","0"
"Mayhem","0","2","0","0"
"Simple Assault","7","8","1","0"
"TOTAL","330","107","3","1"
