"Violation","Jul-04","Aug-04","Sep-04","Oct-04","Nov-04","Dec-04","Jan-05"
"Abscond","5","3","7","0","4","5","1"
"Appeal","2","4","0","0","0","0","0"
"Closed","0","7","2","2","0","1","0"
"Court Suspension","0","0","0","1","0","0","0"
"Death","7","6","4","7","4","4","2"
"Discharge to Probation","10","14","6","9","3","5","2"
"Discharged","2","6","4","2","1","2","1"
"Dismissed","0","1","0","0","0","0","0"
"ERS","118","188","157","158","111","107","123"
"Expiration","249","280","211","237","185","181","164"
"House Arrest/ISP","11","26","29","26","30","36","31"
"Inactive Probation/Parole","1","0","0","1","2","0","0"
"Medical Release","0","3","0","0","0","2","0"
"Non-Report","1","1","0","0","1","1","2"
"Out of State","14","7","11","7","7","7","6"
"Parole","52","53","43","40","55","63","53"
"Pending Arrival","0","1","0","0","1","0","0"
"Probation","158","179","169","170","139","200","148"
"Rejected Compact","0","2","0","0","0","0","0"
"Remanded","0","0","0","0","1","0","0"
"Rendered","0","0","0","0","0","0","0"
"RID on Street","0","0","0","0","1","0","1"
"Shock Probation","10","29","2","11","10","36","6"
"Unsupervised Probation","0","2","5","0","0","1","1"
"Unknown","165","170","132","125","140","128","94"
"TOTAL","805","982","782","796","695","779","635"
