"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","1","0.42%"
"0","0","0","0","3","1.25%"
"0","0","0","0","1","0.42%"
"0","0","0","0","1","0.42%"
"0","0","0","0","1","0.42%"
"0","0","0","0","1","0.42%"
"0","0","0","0","1","0.42%"
"0","1","0","0","1","0.42%"
"0","0","0","0","1","0.42%"
"1","0","0","0","3","1.25%"
"0","0","0","0","1","0.42%"
"0","0","0","0","1","0.42%"
"1","4","0","0","14","5.83%"
"0","0","0","0","1","0.42%"
"3","2","0","0","8","3.33%"
"0","0","0","0","1","0.42%"
"1","4","0","0","98","40.83%"
"0","0","0","0","1","0.42%"
