"","COUNTY  OFFENDERS","PERCENT"
"Pearl River","12","2.05%"
"Perry","1","0.17%"
"Pike","10","1.71%"
"Pontotoc","8","1.37%"
"Prentiss","9","1.54%"
"Quitman","3","0.51%"
"Rankin","30","5.14%"
"Scott","7","1.20%"
"Sharkey","0","0.00%"
"Simpson","5","0.86%"
"Smith","2","0.34%"
"Stone","2","0.34%"
"Sunflower","5","0.86%"
"Tallahatchie","4","0.68%"
"Tate","4","0.68%"
"Tippah","3","0.51%"
"Tishomingo","4","0.68%"
"Tunica","8","1.37%"
"Union","10","1.71%"
"Walthall","4","0.68%"
"Warren","7","1.20%"
"Washington","5","0.86%"
"Wayne","3","0.51%"
"Webster","2","0.34%"
"Wilkinson","0","0.00%"
"Winston","4","0.68%"
"Yalobusha","1","0.17%"
