"MALES","","","",""
"OTHER PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Accessory After the Fact","32","12","0","0"
"Aggravated DUI","5","5","0","0"
"Altering Identification of","0","1","0","0"
"Attempt to Elude","0","1","0","0"
"Bribery - Public Official","1","0","0","0"
"Burglary","11","8","0","0"
"Carjacking","2","0","0","0"
"Child Abuse","3","5","0","0"
"Child Support","6","2","0","0"
"Compounding Crime","7","4","0","0"
"Concealing ID of Motor Vehicle","0","1","0","0"
"Conspiracy","10","6","0","0"
"Conspiracy to Commit a Crime","8","6","0","0"
"Counterfeiting","1","1","0","0"
"Credit Card Fraud","8","12","1","0"
"Crimes Against a Person","3","1","0","0"
"Criminal Attempt to Commit","1","2","0","0"
"Cruelty to Animals","0","0","0","0"
"Damage Prop-","0","1","0","0"
"Damage Property - Public","1","0","0","0"
"Discharge Firearm","10","10","0","0"
"Disorderly Conduct/Creating Turnoil","2","0","0","0"
"Domestic Violence Order","0","1","0","0"
"DUI - Death","1","2","0","0"
"DUI Manslaughter","1","4","0","0"
"Embezzlement","34","37","0","0"
"Escape - Jail","14","2","0","0"
"Extortion","0","0","0","0"
"Fail To Obey Officer","0","1","0","0"
"False Information","1","1","0","0"
"False Pretense","34","23","1","0"
"False Report of a Crime","1","0","0","0"
"Family Offense","1","0","1","0"
"Felony Domestic Violence","9","5","0","0"
"Felony DUI","258","328","2","8"
"Firearms Discharge","2","0","0","0"
"Forgery","7","8","0","0"
