"COUNTY","OFFENDERS  PERCENT",""
"Issaquena","0","0.00%"
"Itawamba","5","0.16%"
"Jackson","126","4.08%"
"Jasper","13","0.42%"
"Jefferson","3","0.10%"
"Jefferson Davis","10","0.32%"
"Jones","34","1.10%"
"Kemper","4","0.13%"
"Lafayette","31","1.00%"
"Lamar","50","1.62%"
"Lauderdale","104","3.37%"
"Lawrence","9","0.29%"
"Leake","24","0.78%"
"Lee","102","3.30%"
"Leflore","23","0.74%"
"Lincoln","62","2.01%"
"Lowndes","85","2.75%"
"Madison","62","2.01%"
"Marion","20","0.65%"
"Marshall","38","1.23%"
"Monroe","48","1.55%"
"Montgomery","12","0.39%"
"Neshoba","17","0.55%"
"Newton","19","0.61%"
"Noxubee","5","0.16%"
"Oktibbeha","41","1.33%"
"Panola","35","1.13%"
