"","COUNTY  OFFENDERS  PERCENT",""
"Adams","3","0.51%"
"Alcorn","7","1.20%"
"Amite","3","0.51%"
"Attala","7","1.20%"
"Benton","1","0.17%"
"Bolivar","6","1.03%"
"Calhoun","9","1.54%"
"Carroll","1","0.17%"
"Chickasaw","5","0.86%"
"Choctaw","1","0.17%"
"Claiborne","2","0.34%"
"Clarke","5","0.86%"
"Clay","6","1.03%"
"Coahoma","3","0.51%"
"Copiah","5","0.86%"
"Covington","3","0.51%"
"Desoto","21","3.60%"
"Forrest","11","1.88%"
"Franklin","2","0.34%"
"George","2","0.34%"
"Greene","4","0.68%"
"Grenada","4","0.68%"
"Hancock","10","1.71%"
"Harrison","64","10.96%"
"Hinds","36","6.16%"
"Holmes","2","0.34%"
"Humphreys","3","0.51%"
