"COUNTY","OFFENDERS  PERCENT",""
"Issaquena","0","0.00%"
"Itawamba","0","0.00%"
"Jackson","20","3.42%"
"Jasper","4","0.68%"
"Jefferson","4","0.68%"
"Jefferson Davis","4","0.68%"
"Jones","11","1.88%"
"Kemper","0","0.00%"
"Lafayette","5","0.86%"
"Lamar","10","1.71%"
"Lauderdale","34","5.82%"
"Lawrence","3","0.51%"
"Leake","5","0.86%"
"Lee","21","3.60%"
"Leflore","2","0.34%"
"Lincoln","5","0.86%"
"Lowndes","9","1.54%"
"Madison","9","1.54%"
"Marion","5","0.86%"
"Marshall","7","1.20%"
"Monroe","8","1.37%"
"Montgomery","3","0.51%"
"Neshoba","6","1.03%"
"Newton","5","0.86%"
"Noxubee","1","0.17%"
"Oktibbeha","9","1.54%"
"Panola","6","1.03%"
