"COUNTY","OFFENDERS  PERCENT",""
"Issaquena","0","0.00%"
"Itawamba","21","0.24%"
"Jackson","329","3.74%"
"Jasper","33","0.38%"
"Jefferson","20","0.23%"
"Jefferson Davis","39","0.44%"
"Jones","120","1.36%"
"Kemper","14","0.16%"
"Lafayette","94","1.07%"
"Lamar","137","1.56%"
"Lauderdale","318","3.62%"
"Lawrence","23","0.26%"
"Leake","58","0.66%"
"Lee","268","3.05%"
"Leflore","103","1.17%"
"Lincoln","144","1.64%"
"Lowndes","225","2.56%"
"Madison","184","2.09%"
"Marion","87","0.99%"
"Marshall","100","1.14%"
"Monroe","122","1.39%"
"Montgomery","42","0.48%"
"Neshoba","71","0.81%"
"Newton","39","0.44%"
"Noxubee","30","0.34%"
"Oktibbeha","114","1.30%"
"Panola","102","1.16%"
