"COUNTY","OFFENDERS  PERCENT",""
"Issaquena","0","0.00%"
"Itawamba","0","0.00%"
"Jackson","5","1.90%"
"Jasper","2","0.76%"
"Jefferson","0","0.00%"
"Jefferson Davis","2","0.76%"
"Jones","2","0.76%"
"Kemper","1","0.38%"
"Lafayette","3","1.14%"
"Lamar","5","1.90%"
"Lauderdale","9","3.42%"
"Lawrence","1","0.38%"
"Leake","1","0.38%"
"Lee","8","3.04%"
"Leflore","8","3.04%"
"Lincoln","5","1.90%"
"Lowndes","7","2.66%"
"Madison","5","1.90%"
"Marion","2","0.76%"
"Marshall","4","1.52%"
"Monroe","4","1.52%"
"Montgomery","2","0.76%"
"Neshoba","2","0.76%"
"Newton","0","0.00%"
"Noxubee","0","0.00%"
"Oktibbeha","6","2.28%"
"Panola","2","0.76%"
