"COUNTY","OFFENDERS","PERCENT"
"Pearl River","3","13.04%"
"Perry","0","0.00%"
"Pike","1","4.35%"
"Pontotoc","1","4.35%"
"Prentiss","0","0.00%"
"Quitman","0","0.00%"
"Rankin","0","0.00%"
"Scott","0","0.00%"
"Sharkey","0","0.00%"
"Simpson","1","4.35%"
"Smith","0","0.00%"
"Stone","0","0.00%"
"Sunflower","1","4.35%"
"Tallahatchie","1","4.35%"
"Tate","0","0.00%"
"Tippah","0","0.00%"
"Tishomingo","0","0.00%"
"Tunica","0","0.00%"
"Union","0","0.00%"
"Walthall","1","4.35%"
"Warren","0","0.00%"
"Washington","3","13.04%"
"Wayne","0","0.00%"
"Webster","0","0.00%"
"Wilkinson","0","0.00%"
"Winston","0","0.00%"
"Yalobusha","0","0.00%"
