"","COUNTY  OFFENDERS  PERCENT",""
"Adams","29","0.94%"
"Alcorn","31","1.00%"
"Amite","11","0.36%"
"Attala","9","0.29%"
"Benton","3","0.10%"
"Bolivar","17","0.55%"
"Calhoun","45","1.46%"
"Carroll","6","0.19%"
"Chickasaw","24","0.78%"
"Choctaw","6","0.19%"
"Claiborne","15","0.49%"
"Clarke","21","0.68%"
"Clay","29","0.94%"
"Coahoma","27","0.87%"
"Copiah","35","1.13%"
"Covington","14","0.45%"
"Desoto","110","3.56%"
"Forrest","71","2.30%"
"Franklin","10","0.32%"
"George","45","1.46%"
"Greene","17","0.55%"
"Grenada","34","1.10%"
"Hancock","63","2.04%"
"Harrison","335","10.84%"
"Hinds","245","7.93%"
"Holmes","10","0.32%"
"Humphreys","25","0.81%"
