"COUNTY","OFFENDERS","PERCENT"
"Pearl River","2","0.76%"
"Perry","2","0.76%"
"Pike","6","2.28%"
"Pontotoc","3","1.14%"
"Prentiss","1","0.38%"
"Quitman","1","0.38%"
"Rankin","20","7.60%"
"Scott","5","1.90%"
"Sharkey","0","0.00%"
"Simpson","2","0.76%"
"Smith","1","0.38%"
"Stone","4","1.52%"
"Sunflower","4","1.52%"
"Tallahatchie","4","1.52%"
"Tate","3","1.14%"
"Tippah","1","0.38%"
"Tishomingo","1","0.38%"
"Tunica","2","0.76%"
"Union","4","1.52%"
"Walthall","1","0.38%"
"Warren","4","1.52%"
"Washington","2","0.76%"
"Wayne","2","0.76%"
"Webster","0","0.00%"
"Wilkinson","0","0.00%"
"Winston","0","0.00%"
"Yalobusha","1","0.38%"
