"MALES","","","",""
"SEX OFFENSES","BLACK","","WHITE   HISPANIC","OTHER"
"Capital Rape","1","0","0","0"
"Child Molesting","18","24","0","1"
"Entice Child for Indecent Purposes","0","0","0","0"
"Failure to Register - Sexual Offense","5","4","0","0"
"Fondling","1","0","0","0"
"Fondling a Child","7","12","1","0"
"Gratification - Lust","5","6","0","0"
"Peeping Tom","3","2","0","0"
"Rape","24","8","0","2"
"Sex Offenses","4","5","0","0"
"Sexual Assault","10","9","0","0"
"Sexual Assault - Carnal Abuse","1","0","0","0"
"Sexual Battery","31","34","0","0"
"Statutory Rape","20","13","0","0"
"Unlawful Touching/Child","3","6","0","0"
"Unknown Race","0","0","0","0"
"TOTAL","133","123","1","3"
