"Offense","Male","Female","Total","Percent"
"Aggravated Assault","300","31","331","4.66%"
"Burglary","1,229","78","1,307","18.41%"
"Drug Intent","440","55","495","6.97%"
"Homicide/Manslaughter","179","18","197","2.77%"
"Other Property","1,570","338","1,908","26.87%"
"Possession of Drugs","870","173","1,043","14.69%"
"Robbery","435","28","463","6.52%"
"Sale of Drugs","680","78","758","10.68%"
"Sex Offense","293","8","301","4.24%"
"Violent","262","35","297","4.18%"
"Total","6,258","842","7,100","100.00%"
