"Offense","Male","Female","Total","Percent"
"Child Molestation","5","0","5","1.66%"
"Child Pornography","4","0","4","1.33%"
"Computer Luring Of Child For Sexual Conduct","3","0","3","1.00%"
"Entice Child For Indecent Purposes","2","0","2","0.66%"
"Exploitation/Child","36","0","36","11.96%"
"Fondling","16","0","16","5.32%"
"Fondling A Child","13","0","13","4.32%"
"Forcible Sexual Intercourse","2","0","2","0.66%"
"Gratification/Lust","9","0","9","2.99%"
"Human Trafficking","1","1","2","0.66%"
"Kidnap Minor","3","0","3","1.00%"
"Rape","7","0","7","2.33%"
"Sexual Battery","116","4","120","39.87%"
"Statutory Rape","43","2","45","14.95%"
"Unlawful Touching/Child","30","1","31","10.30%"
"Video Voyeurism-Photographing Or Filming","3","0","3","1.00%"
"Total","293","8","301","100.00%"
