"Age","Male","Female","Total","Percent"
"14","1","0","1","0.33%"
"17","3","0","3","1.00%"
"18-19","8","0","8","2.66%"
"20-29","94","3","97","32.23%"
"30-39","77","2","79","26.25%"
"40-49","60","3","63","20.93%"
"50-59","31","0","31","10.30%"
"60-69","14","0","14","4.65%"
"70-79","3","0","3","1.00%"
"80+","2","0","2","0.66%"
"Total","293","8","301","100.00%"
