Violation,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,April,May,June,Total,Percent
FEDERAL INMATE,0,1,0,0,0,0,1,0,0,1,4,3,10,0.14%
NEW PRISONER,341,399,352,381,270,330,259,349,447,369,312,333,"4,142",58.34%
NON-ADJUDICATED RID,15,10,13,8,6,8,13,6,3,7,6,3,98,1.38%
PROBATION REVOKED,170,163,131,110,125,147,91,121,131,109,152,130,1580,22.25%
RETURN ERS,29,33,18,22,24,17,24,17,15,21,14,19,253,3.56%
RETURN HOUSE ARREST,29,41,34,30,20,23,32,14,33,31,34,32,353,4.97%
RETURN MEDICAL,0,0,0,0,1,0,0,0,0,0,0,0,1,0.01%
RETURN PAROLE,73,35,28,51,48,35,43,59,75,57,84,59,647,9.11%
OTHER,0,3,4,0,2,2,0,2,0,0,1,2,16,0.23%
Total,657,685,580,602,496,562,463,568,704,595,607,581,"7,100",100.00%
