"Age","Male","Female","Total","Percent"
"14","1","0","1","0.01%"
"15","4","0","4","0.06%"
"16","6","0","6","0.08%"
"17","27","1","28","0.39%"
"18-19","257","12","269","3.79%"
"20-29","2,579","302","2,881","40.58%"
"30-39","1,923","305","2,228","31.38%"
"40-49","883","161","1,044","14.70%"
"50-59","468","57","525","7.39%"
"60-69","100","4","104","1.46%"
"70-79","8","0","8","0.11%"
"80+","2","0","2","0.03%"
"TOTAL","6,258","842","7,100","100.00%"
