"Race","Male","Female","Total","Percent"
"White","240","43","283","44.29%"
"Black","330","18","348","54.46%"
"Hispanic","5","0","5","0.78%"
"Other","2","0","2","0.31%"
"Unknown Race","1","0","1","0.16%"
"Total","578","61","639","100.00%"
