"County","Offenders","Percent"
"Adams","5","1.66%"
"Alcorn","5","1.66%"
"Amite","1","0.33%"
"Benton","2","0.66%"
"Bolivar","2","0.66%"
"Calhoun","4","1.33%"
"Chickasaw","5","1.66%"
"Choctaw","1","0.33%"
"Claiborn","1","0.33%"
"Clay","4","1.33%"
"Coahoma","1","0.33%"
"Copiah","1","0.33%"
"Desoto","16","5.32%"
"Forrest","5","1.66%"
"Franklin","1","0.33%"
"Greene","1","0.33%"
"Grenada","2","0.66%"
"Hancock","8","2.66%"
"Harrison","21","6.98%"
"Hinds","25","8.31%"
"Holmes","2","0.66%"
"Humphreys","1","0.33%"
"Itawamba","5","1.66%"
"Jackson","33","10.96%"
"Jasper","1","0.33%"
"Jones","2","0.66%"
"Lafayette","1","0.33%"
"Lamar","3","1.00%"
"Lauderdale","5","1.66%"
"Lawrence","1","0.33%"
"Leake","3","1.00%"
"Lee","7","2.33%"
"Leflore","2","0.66%"
"Lincoln","5","1.66%"
"Lowndes","5","1.66%"
"Madison","6","1.99%"
"Marion","2","0.66%"
"Marshall","4","1.33%"
"Monroe","6","1.99%"
"Neshoba","4","1.33%"
"Newton","4","1.33%"
"Noxubee","2","0.66%"
"Oktibbeha","3","1.00%"
"Panola","7","2.33%"
"Pearl","7","2.33%"
"Perry","2","0.66%"
"Pike","5","1.66%"
"Pontotoc","2","0.66%"
"Prentiss","7","2.33%"
"Rankin","8","2.66%"
"Scott","6","1.99%"
"Sharkey","2","0.66%"
"Simpson","2","0.66%"
"Stone","1","0.33%"
"Tate","1","0.33%"
"Tippah","3","1.00%"
"Tishomingo","1","0.33%"
"Tunica","4","1.33%"
"Union","7","2.33%"
"Walthall","3","1.00%"
"Warren","6","1.99%"
"Washington","3","1.00%"
"Wayne","2","0.66%"
"Winston","1","0.33%"
"Yalobusha","1","0.33%"
"Yazoo","2","0.66%"
"TOTAL","301","100.00%"
