"County","Offenders","Percent"
"Adams","62","0.87%"
"Alcorn","72","1.01%"
"Amite","28","0.39%"
"Attala","44","0.62%"
"Benton","15","0.21%"
"Bolivar","44","0.62%"
"Calhoun","34","0.48%"
"Carroll","18","0.25%"
"Chickasaw","50","0.70%"
"Choctaw","17","0.24%"
"Claiborn","13","0.18%"
"Clarke","23","0.32%"
"Clay","79","1.11%"
"Coahoma","56","0.79%"
"Copiah","56","0.79%"
"Covington","26","0.37%"
"+ Desoto","304","4.28%"
"+ Forrest","296","4.17%"
"Franklin","13","0.18%"
"George","50","0.70%"
"Greene","19","0.27%"
"Grenada","33","0.46%"
"Hancock","111","1.56%"
"+ Harrison","701","9.87%"
"+ Hinds","358","5.04%"
"Holmes","19","0.27%"
"Humphreys","16","0.23%"
"Issaquena","1","0.01%"
"Itawamba","43","0.61%"
"+ Jackson","430","6.06%"
"Jasper","19","0.27%"
"Jeff","16","0.23%"
"Jefferson","17","0.24%"
"Jones","176","2.48%"
"Kemper","19","0.27%"
"Lafayette","98","1.38%"
"Lamar","103","1.45%"
"+ Lauderdale","214","3.01%"
"Lawrence","30","0.42%"
"Leake","50","0.70%"
"+ Lee","212","2.99%"
"Leflore","61","0.86%"
"Lincoln","107","1.51%"
"+ Lowndes","204","2.87%"
"+ Madison","216","3.04%"
"Marion","98","1.38%"
"Marshall","101","1.42%"
"Monroe","87","1.23%"
"Montgomery","13","0.18%"
"Neshoba","84","1.18%"
"Newton","51","0.72%"
"Noxubee","12","0.17%"
"Oktibbeha","119","1.68%"
"Panola","93","1.31%"
"Pearl","181","2.55%"
"Perry","34","0.48%"
"Pike","144","2.03%"
"Pontotoc","56","0.79%"
"Prentiss","93","1.31%"
"Quitman","15","0.21%"
"+ Rankin","316","4.45%"
"Scott","90","1.27%"
"Sharkey","14","0.20%"
"Simpson","41","0.58%"
"Smith","20","0.28%"
"Stone","42","0.59%"
"Sunflower","42","0.59%"
"Tallahatchie","21","0.30%"
"Tate","61","0.86%"
"Tippah","40","0.56%"
"Tishomingo","28","0.39%"
"Tunica","38","0.54%"
"Union","80","1.13%"
"Unavailable","41","0.58%"
"Walthall","41","0.58%"
"Warren","136","1.92%"
"Washington","147","2.07%"
"Wayne","29","0.41%"
"Webster","14","0.20%"
"Wilkinson","7","0.10%"
"Winston","35","0.49%"
"Yalobusha","33","0.46%"
"Yazoo","30","0.42%"
"TOTAL","7,100","100.00%"
