"County","Offenders","Percent"
"Adams","18","0.78%"
"Alcorn","24","1.05%"
"Amite","5","0.22%"
"Attala","11","0.48%"
"Benton","3","0.13%"
"Bolivar","8","0.35%"
"Calhoun","10","0.44%"
"Carroll","2","0.09%"
"Chickasaw","26","1.13%"
"Choctaw","1","0.04%"
"Clarke","1","0.04%"
"Clay","31","1.35%"
"Coahoma","14","0.61%"
"Copiah","12","0.52%"
"Covington","5","0.22%"
"+ Desoto","99","4.31%"
"+ Forrest","90","3.92%"
"George","28","1.22%"
"Greene","8","0.35%"
"Grenada","4","0.17%"
"+ Hancock","62","2.70%"
"+ Harrison","297","12.94%"
"Hinds","50","2.18%"
"Holmes","2","0.09%"
"Humphreys","2","0.09%"
"Itawamba","17","0.74%"
"+ Jackson","136","5.92%"
"Jasper","7","0.30%"
"Jeff","4","0.17%"
"Jefferson","3","0.13%"
"Jones","58","2.53%"
"Lafayette","47","2.05%"
"Lamar","32","1.39%"
"+ Lauderdale","66","2.87%"
"Lawrence","10","0.44%"
"Leake","10","0.44%"
"+ Lee","82","3.57%"
"Leflore","14","0.61%"
"Lincoln","51","2.22%"
"+ Lowndes","69","3.01%"
"+ Madison","81","3.53%"
"Marion","37","1.61%"
"Marshall","47","2.05%"
"Monroe","16","0.70%"
"Montgomery","4","0.17%"
"Neshoba","23","1.00%"
"Newton","17","0.74%"
"Noxubee","1","0.04%"
"Oktibbeha","47","2.05%"
"Panola","36","1.57%"
"Pearl","56","2.44%"
"Perry","16","0.70%"
"Pike","41","1.79%"
"Pontotoc","26","1.13%"
"Prentiss","30","1.31%"
"Quitman","4","0.17%"
"+ Rankin","113","4.92%"
"Scott","22","0.96%"
"Sharkey","1","0.04%"
"Simpson","13","0.57%"
"Smith","11","0.48%"
"Stone","23","1.00%"
"Sunflower","5","0.22%"
"Tallahatchie","8","0.35%"
"Tate","18","0.78%"
"Tippah","14","0.61%"
"Tishomingo","6","0.26%"
"Tunica","8","0.35%"
"Union","36","1.57%"
"Unavailable","8","0.35%"
"Walthall","8","0.35%"
"Warren","38","1.66%"
"Washington","32","1.39%"
"Wayne","9","0.39%"
"Webster","3","0.13%"
"Winston","4","0.17%"
"Yalobusha","11","0.48%"
"Yazoo","4","0.17%"
"TOTAL","2,296","100.0%"
