"Offense","Black","White","Hispanic","Other","Total"
"Child Molestation","2","3","0","0","5"
"Child Pornography","0","3","1","0","4"
"Computer Luring Of Child For Sexual Conduct","0","3","0","0","3"
"Entice Child For Indecent Purposes","0","2","0","0","2"
"Exploitation/Child","5","31","0","0","36"
"Fondling","6","10","0","0","16"
"Fondling A Child","6","7","0","0","13"
"Forcible Sexual Intercourse","1","1","0","0","2"
"Gratification/Lust","6","3","0","0","9"
"Human Trafficking","1","0","0","0","1"
"Kidnap Minor","2","1","0","0","3"
"Rape","6","1","0","0","7"
"Sexual Battery","53","58","4","1","116"
"Statutory Rape","30","12","1","0","43"
"Unlawful Touching/Child","11","17","2","0","30"
"Video Voyeurism-Photographing Or Filming","1","2","0","0","3"
"Total","130","154","8","1","293"
